t	w	a
0.018600	0.481464	0.209129
0.018700	0.481363	0.209177
0.018800	0.481261	0.209225
0.018900	0.481159	0.209273
0.019000	0.481057	0.209321
0.019100	0.480955	0.209369
0.019200	0.480853	0.209418
0.019300	0.480751	0.209466
0.019400	0.480649	0.209514
0.019500	0.480547	0.209562
0.019600	0.480445	0.209610
0.019700	0.480343	0.209658
0.019800	0.480241	0.209706
0.019900	0.480139	0.209754
0.020000	0.480036	0.209802
0.020100	0.479934	0.209850
0.020200	0.479832	0.209898
0.020300	0.479730	0.209946
0.020400	0.479628	0.209994
0.020500	0.479525	0.210042
0.020600	0.479423	0.210090
0.020700	0.479321	0.210138
0.020800	0.479218	0.210186
0.020900	0.479116	0.210234
0.021000	0.479014	0.210281
0.021100	0.478911	0.210329
0.021200	0.478809	0.210377
0.021300	0.478707	0.210425
0.021400	0.478604	0.210473
0.021500	0.478502	0.210521
0.021600	0.478399	0.210569
0.021700	0.478297	0.210617
0.021800	0.478194	0.210664
0.021900	0.478091	0.210712
0.022000	0.477989	0.210760
0.022100	0.477886	0.210808
0.022200	0.477783	0.210856
0.022300	0.477681	0.210903
0.022400	0.477578	0.210951
0.022500	0.477475	0.210999
0.022600	0.477373	0.211047
0.022700	0.477270	0.211094
0.022800	0.477167	0.211142
0.022900	0.477064	0.211190
0.023000	0.476961	0.211237
0.023100	0.476859	0.211285
0.023200	0.476756	0.211333
0.023300	0.476653	0.211380
0.023400	0.476550	0.211428
0.023500	0.476447	0.211476
0.023600	0.476344	0.211523
0.023700	0.476241	0.211571
0.023800	0.476138	0.211619
0.023900	0.476035	0.211666
0.024000	0.475932	0.211714
0.024100	0.475829	0.211761
0.024200	0.475726	0.211809
0.024300	0.475623	0.211857
0.024400	0.475519	0.211904
0.024500	0.475416	0.211952
0.024600	0.475313	0.211999
0.024700	0.475210	0.212047
0.024800	0.475107	0.212094
0.024900	0.475003	0.212142
0.025000	0.474900	0.212189
0.025100	0.474797	0.212237
0.025200	0.474693	0.212284
0.025300	0.474590	0.212332
0.025400	0.474487	0.212379
0.025500	0.474383	0.212427
0.025600	0.474280	0.212474
0.025700	0.474176	0.212521
0.025800	0.474073	0.212569
0.025900	0.473969	0.212616
0.026000	0.473866	0.212664
0.026100	0.473762	0.212711
0.026200	0.473659	0.212758
0.026300	0.473555	0.212806
0.026400	0.473452	0.212853
0.026500	0.473348	0.212900
0.026600	0.473244	0.212948
0.026700	0.473141	0.212995
0.026800	0.473037	0.213042
0.026900	0.472933	0.213090
0.027000	0.472830	0.213137
0.027100	0.472726	0.213184
0.027200	0.472622	0.213232
0.027300	0.472518	0.213279
0.027400	0.472414	0.213326
0.027500	0.472310	0.213373
0.027600	0.472207	0.213421
0.027700	0.472103	0.213468
0.027800	0.471999	0.213515
0.027900	0.471895	0.213562
0.028000	0.471791	0.213609
0.028100	0.471687	0.213657
0.028200	0.471583	0.213704
0.028300	0.471479	0.213751
0.028400	0.471375	0.213798
0.028500	0.471271	0.213845
0.028600	0.471167	0.213892
0.028700	0.471062	0.213939
0.028800	0.470958	0.213986
0.028900	0.470854	0.214034
0.029000	0.470750	0.214081
0.029100	0.470646	0.214128
0.029200	0.470541	0.214175
0.029300	0.470437	0.214222
0.029400	0.470333	0.214269
0.029500	0.470229	0.214316
0.029600	0.470124	0.214363
0.029700	0.470020	0.214410
0.029800	0.469916	0.214457
0.029900	0.469811	0.214504
0.030000	0.469707	0.214551
0.030100	0.469602	0.214598
0.030200	0.469498	0.214645
0.030300	0.469393	0.214692
0.030400	0.469289	0.214739
0.030500	0.469184	0.214786
0.030600	0.469080	0.214832
0.030700	0.468975	0.214879
0.030800	0.468871	0.214926
0.030900	0.468766	0.214973
0.031000	0.468661	0.215020
0.031100	0.468557	0.215067
0.031200	0.468452	0.215114
0.031300	0.468347	0.215161
0.031400	0.468242	0.215207
0.031500	0.468138	0.215254
0.031600	0.468033	0.215301
0.031700	0.467928	0.215348
0.031800	0.467823	0.215395
0.031900	0.467718	0.215441
0.032000	0.467614	0.215488
0.032100	0.467509	0.215535
0.032200	0.467404	0.215582
0.032300	0.467299	0.215628
0.032400	0.467194	0.215675
0.032500	0.467089	0.215722
0.032600	0.466984	0.215769
0.032700	0.466879	0.215815
0.032800	0.466774	0.215862
0.032900	0.466669	0.215909
0.033000	0.466564	0.215955
0.033100	0.466459	0.216002
0.033200	0.466353	0.216049
0.033300	0.466248	0.216095
0.033400	0.466143	0.216142
0.033500	0.466038	0.216188
0.033600	0.465933	0.216235
0.033700	0.465827	0.216282
0.033800	0.465722	0.216328
0.033900	0.465617	0.216375
0.034000	0.465511	0.216421
0.034100	0.465406	0.216468
0.034200	0.465301	0.216514
0.034300	0.465195	0.216561
0.034400	0.465090	0.216607
0.034500	0.464985	0.216654
0.034600	0.464879	0.216700
0.034700	0.464774	0.216747
0.034800	0.464668	0.216793
0.034900	0.464563	0.216840
0.035000	0.464457	0.216886
0.035100	0.464352	0.216933
0.035200	0.464246	0.216979
0.035300	0.464140	0.217026
0.035400	0.464035	0.217072
0.035500	0.463929	0.217118
0.035600	0.463823	0.217165
0.035700	0.463718	0.217211
0.035800	0.463612	0.217257
0.035900	0.463506	0.217304
0.036000	0.463400	0.217350
0.036100	0.463295	0.217397
0.036200	0.463189	0.217443
0.036300	0.463083	0.217489
0.036400	0.462977	0.217535
0.036500	0.462871	0.217582
0.036600	0.462765	0.217628
0.036700	0.462660	0.217674
0.036800	0.462554	0.217721
0.036900	0.462448	0.217767
0.037000	0.462342	0.217813
0.037100	0.462236	0.217859
0.037200	0.462130	0.217906
0.037300	0.462024	0.217952
0.037400	0.461917	0.217998
0.037500	0.461811	0.218044
0.037600	0.461705	0.218090
0.037700	0.461599	0.218136
0.037800	0.461493	0.218183
0.037900	0.461387	0.218229
0.038000	0.461281	0.218275
0.038100	0.461174	0.218321
0.038200	0.461068	0.218367
0.038300	0.460962	0.218413
0.038400	0.460856	0.218459
0.038500	0.460749	0.218505
0.038600	0.460643	0.218551
0.038700	0.460537	0.218598
0.038800	0.460430	0.218644
0.038900	0.460324	0.218690
0.039000	0.460217	0.218736
0.039100	0.460111	0.218782
0.039200	0.460004	0.218828
0.039300	0.459898	0.218874
0.039400	0.459791	0.218920
0.039500	0.459685	0.218966
0.039600	0.459578	0.219012
0.039700	0.459472	0.219058
0.039800	0.459365	0.219103
0.039900	0.459259	0.219149
0.040000	0.459152	0.219195
0.040100	0.459045	0.219241
0.040200	0.458939	0.219287
0.040300	0.458832	0.219333
0.040400	0.458725	0.219379
0.040500	0.458618	0.219425
0.040600	0.458512	0.219471
0.040700	0.458405	0.219516
0.040800	0.458298	0.219562
0.040900	0.458191	0.219608
0.041000	0.458084	0.219654
0.041100	0.457977	0.219700
0.041200	0.457870	0.219746
0.041300	0.457763	0.219791
0.041400	0.457657	0.219837
0.041500	0.457550	0.219883
0.041600	0.457443	0.219929
0.041700	0.457336	0.219974
0.041800	0.457228	0.220020
0.041900	0.457121	0.220066
0.042000	0.457014	0.220111
0.042100	0.456907	0.220157
0.042200	0.456800	0.220203
0.042300	0.456693	0.220249
0.042400	0.456586	0.220294
0.042500	0.456479	0.220340
0.042600	0.456371	0.220386
0.042700	0.456264	0.220431
0.042800	0.456157	0.220477
0.042900	0.456050	0.220522
0.043000	0.455942	0.220568
0.043100	0.455835	0.220614
